table_name|column_name|data_type|character_maximum_length|is_nullable|column_default
v_cl_pending_approvals|applicant_name|character varying|50|YES|
v_cl_pending_approvals|applicant_unit_id|bigint||YES|
v_cl_pending_approvals|applicant_phone|character varying|20|YES|
v_cl_pending_approvals|purpose|character varying|200|YES|
v_cl_pending_approvals|destination|character varying|200|YES|
v_cl_pending_approvals|start_time|timestamp with time zone||YES|
v_cl_pending_approvals|end_time|timestamp with time zone||YES|
v_cl_pending_approvals|passenger_count|integer||YES|
v_cl_pending_approvals|required_vehicle_type|character varying|20|YES|
v_cl_pending_approvals|planned_route|text||YES|
v_cl_pending_approvals|planned_mileage|numeric||YES|
v_cl_pending_approvals|apply_status|character varying|20|YES|
v_cl_pending_approvals|auto_approve|boolean||YES|
v_cl_pending_approvals|reject_reason|text||YES|
v_cl_pending_approvals|dispatch_order_id|bigint||YES|
v_cl_pending_approvals|process_instance_id|character varying|50|YES|
v_cl_pending_approvals|create_by|bigint||YES|
v_cl_pending_approvals|create_time|timestamp with time zone||YES|
v_cl_pending_approvals|update_by|bigint||YES|
v_cl_pending_approvals|update_time|timestamp with time zone||YES|
v_cl_pending_approvals|is_deleted|boolean||YES|
v_cl_pending_approvals|plate_number|character varying|20|YES|
v_cl_pending_approvals|vehicle_type|character varying|20|YES|
v_cl_pending_approvals|applicant_real_name|character varying|50|YES|
v_gc_asset_available|id|bigint||YES|
v_gc_asset_available|asset_code|character varying|50|YES|
v_gc_asset_available|asset_name|character varying|200|YES|
v_gc_asset_available|category_code|character varying|20|YES|
v_gc_asset_available|category_name|character varying|50|YES|
v_gc_asset_available|spec_model|character varying|100|YES|
v_gc_asset_available|brand|character varying|50|YES|
v_gc_asset_available|quantity|integer||YES|
v_gc_asset_available|original_value|numeric||YES|
v_gc_asset_available|residual_rate|numeric||YES|
v_gc_asset_available|current_value|numeric||YES|
v_gc_asset_available|accumulated_depreciation|numeric||YES|
v_gc_asset_available|purchase_date|date||YES|
v_gc_asset_available|useful_life|integer||YES|
v_gc_asset_available|depreciation_method|character varying|20|YES|
v_gc_asset_available|asset_status|character varying|20|YES|
v_gc_asset_available|location|character varying|200|YES|
v_gc_asset_available|warehouse_id|bigint||YES|
v_gc_asset_available|owner_unit_id|bigint||YES|
v_gc_asset_available|owner_unit_name|character varying|100|YES|
v_gc_asset_available|current_use_unit_id|bigint||YES|
v_gc_asset_available|qr_code_url|character varying|255|YES|
v_gc_asset_available|rfid_tag|character varying|50|YES|
v_gc_asset_available|photo_urls|text||YES|
v_gc_asset_available|attachment_urls|text||YES|
v_gc_asset_available|description|text||YES|
v_gc_asset_available|remark|character varying|500|YES|
v_gc_asset_available|create_by|bigint||YES|
v_gc_asset_available|create_time|timestamp with time zone||YES|
v_gc_asset_available|update_by|bigint||YES|
v_gc_asset_available|update_time|timestamp with time zone||YES|
v_gc_asset_available|is_deleted|boolean||YES|
v_gc_asset_available|owner_unit_name_full|character varying|100|YES|
v_gc_dashboard_stats|total_assets|bigint||YES|
v_gc_dashboard_stats|in_stock_count|bigint||YES|
v_gc_dashboard_stats|borrowed_count|bigint||YES|
v_gc_dashboard_stats|transferred_count|bigint||YES|
v_gc_dashboard_stats|disposed_count|bigint||YES|
v_gc_dashboard_stats|total_original_value|numeric||YES|
v_gc_dashboard_stats|total_current_value|numeric||YES|
v_gc_dashboard_stats|involved_units|bigint||YES|
(643 ÐÐ¼ÇÂ¼)
